Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
CTYO US Equity,CATHAYONLINE INC, , , , , , , 
CAVM US Equity,CAVIUM LLC,1563680000,40.9207,-11.4295,2.8651,-73705000,366362000,-92080000
CDEX US Equity,CDEX INC-CLASS A SHARES, , , , , , , 
CDK US Equity,CDK GLOBAL II LLC,2937900032,73.5423,11.2835,2.3735,506200000,0,-55900000
CDW US Equity,CDW CORP/DE,7101799936,48.2962,6.22,1.365,841800000,0,-80700000
CESF US Equity,CE SOFTWARE INC, , , , , , , 
CEOS US Equity,CECORS INC,197183,66.4221,-349.2307,0.3325,-4128920, , 
CELO US Equity,CEELOX INC, , , , , , , 
CLTY US Equity,CELERITY SOLUTIONS INC,3617325,31.6823,-44.4423,0.8797,-2317567,1958480.9922, 
CGSO US Equity,CENTERGISTIC SOLUTIONS INC,1724270,21.3422,19.677,1.2881,382807,264014,-45071
CERN US Equity,CERNER CORP,6232256000,8.5844,11.1653,2.7656,953448000,588537008,-393938000
CCA AU Equity,CHANGE FINANCIAL LTD,10914000,0,-77.0434,17.9479,-8879000, ,-97000
CHGT US Equity,CHANGING TECHNOLOGIES INC,13102,696.8173,-1217.5061,0.0523,-548731,0,0
ECOM US Equity,CHANNELADVISOR CORP,132037000,0.6801,-7.9325,1.9355,-15920000,20537000,-3262000
CRGEQ US Equity,CHARGE ENTERPRISES INC, , , , , , , 
CLAD US Equity,CHINA LIAONING DINGXU ECOLOG, , , , , , , 
CMNT US Equity,CHINA MULANS NANO TECHNOLOGY, , , , , , , 
CMXX US Equity,CIMETRIX INC,3799000,0,6.5258,3.4987,441000,961000,-27000
CRLI US Equity,CIRCUIT RESEARCH LABS INC,11170004,28.0489,3.5819,1.0173,717201,2044100.0313,-49814
CRUS US Equity,CIRRUS LOGIC INC,1455767040,0,19.5131,3.5044,329089992,327961000,-75024000
CSCO US Equity,CISCO SYSTEMS INC,130521997312,27.5226,7.5395,2.8712,11851999744,6081000192,-857000000
CISN US Equity,CISION LTD,1843918976,65.1339, ,0.8214, , , 
CNWT US Equity,CISTERA NETWORKS INC,1926155,39.1752,-6.7525,0.0934,-107229, , 
CTXS US Equity,CITRIX SYSTEMS INC,5499396096,25.7605,8.1076,1.4357,612587992,430136000,-90501000
CMST US Equity,CITYMAINSTREET TECH GROUP HL, , , , , , , 
CLFD US Equity,CLEARFIELD INC,69494040,0,5.4934,9.6965,5311883, ,-1951615
CLRO US Equity,CLEARONE INC,74372000,0,-14.068,3.3229,-16292000,9030000,-723000
CSYS US Equity,CLEARSTORY SYSTEMS INC,6108000,27.243,-45.1651,0.2109,-2617000.0625,3262000,-83000.0005
CLRI US Equity,CLEARTRONIC INC, , , , , , , 
CLCI US Equity,CLIC TECHNOLOGY INC,226,0, ,0.0138, , , 
CLIS US Equity,CLICKSTREAM CORP, , , , , , , 
CLDR US Equity,CLOUDERA INC,634510976,0, ,1.8749, , , 
CLHI US Equity,CLST HOLDINGS INC,39562000,65.6944,-14.0788,0.1392,-9701000, ,-1000
CMEY US Equity,CMONEY INC, , , , , , , 
CBRI US Equity,CMTSU LIQUIDATION INC,334327008,11.7756,-40.4586,1.3885,-167970000,0,-14923000
CDRBQ US Equity,CODE REBEL CORP,12069365,0,-56.4105,4.8179,-3504524, ,-18185
CTSH US Equity,COGNIZANT TECH SOLUTIONS-A,14579999744,5.6447,13.6977,3.2912,2385000000,0,-291200000
COHR US Equity,COHERENT CORP,1583805056,27.0163,7.1202,3.8868,121627000,100552000,-145949000
2150994D US Equity,COHERENT INC,2337799936,25.4119,11.8391,3.1294,325495000,119166000,-90704000
COHU US Equity,COHU INC,404464000,2.2951,7.4571,3.6232,33134000,38994000,-5394000
CLXS US Equity,COLLEXIS HOLDINGS INC, , , , , , , 
1876018D US Equity,COLOR IMAGING INC,17846350,0.0478,4.5043,4.4486,1275489,1155361,-425531
CGUD US Equity,COM-GUARD.COM INC, , , , , , , 
CMRO US Equity,COMARCO INC,607000,115.3213,-117.4079,2.2649,-1395000, ,0
CMPY US Equity,COMEPAY INC, , , , , , , 
CBUIF US Equity,COMMODORE INTL LTD,265799984,49.699,-78.1028,0.6436,-284500000, , 
COMM US Equity,COMMSCOPE HOLDING CO INC,7146545152,63.6394,2.6741,2.781,505364000,188441000,-69806000
CSYT US Equity,COMMUNICATION SYNERGY TECHNO, , , , , , , 
CVLT US Equity,COMMVAULT SYSTEMS INC,877945024,0,0.1048,2.3322,-5482000,89564000,-6978000
CSVI US Equity,COMPUTER SERVICES INC,235664992,0,14.9207,2.1326,54512000, , 
COMS US Equity,COMSOVEREIGN HOLDING CORP,3935207,127.0581,-189.1448,1.1426,-8866094, ,-2912
CMTL US Equity,COMTECH TELECOMMUNICATIONS,826232000,23.563,1.9259,1.7673,37992000,53914000,-7183000
COMX US Equity,COMTREX SYSTEMS CORP,5962261,20.0399,0.8429,2.0446,197202.6016,99900,-217000.001
SREV US Equity,CONCENTRIX SREV INC,286284992,49.5052,-13.0596,1.4144,-26406000,6746000,-18977000
2521604D US Equity,CONTENT CHECKED HOLDINGS INC,10053,3.7302, ,26.808, , , 
CTLR US Equity,CONTINENTAL RESOURCES INC/MA, , , , , , , 
CTRL US Equity,CONTROL4 CORP,196507008,0,7.3158,3.9687,12141000,39523000,-3905000
CVON US Equity,CONVERGEONE HOLDINGS INC,175379568,0, ,1.8558, , , 
CVG US Equity,CONVERGYS CORP,2387399936,14.2414,5.4405,2.6,197100000, ,-68300000
COYNQ US Equity,COPSYNC INC,3193428,36.5143,-466.535,0.4412,-9219147,1816476,-145358
CCRD US Equity,CORECARD CORP,22465000,0,4.3346,8.5007,-835000,3808000,-573000
CRTG US Equity,CORETEC GROUP INC/THE, , , , , , , 
CSOD US Equity,CORNERSTONE ONDEMAND INC,621398976,39.521,-12.0946,0.8632,-58369000,56534000,-8565000
CGLO US Equity,CORO GLOBAL INC,19048,3122.1599,-10395.3848,0.0042,-1237721,0,0
COTV US Equity,COTIVITI HOLDINGS INC,2072225024,37.235,4.5528,1.4408,156742000,0,-36245000
COUP US Equity,COUPA SOFTWARE INC,331582016,0,-13.8744,2.1219,-42341000,39337000,-4578000
CXT US Equity,CRANE NXT CO,3607099904,20.6787,3.8909,2.6584,219400000, ,-47300000
CRAY US Equity,CRAY INC,667065024,0,2.2283,3.6653,-7462000,106398000,-19342000
CXDO US Equity,CREXENDO INC,3398000,4.1495,-38.033,1.1722,-1317000,761000,0
CSPI US Equity,CSP INC,58928000,0,4.6546,1.9874,3772000,2362000,-358000
CSRA US Equity,CSRA INC,5005000192,57.2228,6.4661,1.0536,601000000,0,-110000000
CTS US Equity,CTS CORP,543283008,15.1486,6.8844,2.2786,52661000,24058000,-18020000
1917814D US Equity,CUBED INC, , , , , , , 
CYBD US Equity,CYBER DIGITAL INC,2713606,87.1604,-52.0715,0.2206,-1770604,40000,-4960
CYPJ US Equity,CYBER OPERATIONS INC, , , , , , , 
CYRD US Equity,CYBERECORD INC, , , , , , , 
CKYS US Equity,CYBERKEY SOLUTIONS INC, , , , , , , 
CLOQ US Equity,CYBERLOQ TECHNOLOGIES INC, , , , , , , 
CYRP US Equity,CYBRA CORP,254289,574.1499,-61.6367,0.0666,-119190,189308,-8559
CYIO US Equity,CYIOS CORP,380825,7.7608,-13.9318,2.3205,-112731, ,0
CTEK US Equity,CYNERGISTEK LLC,53465072,40.6211,13.4831,0.9773,1966800,0,-258981
DGIF US Equity,D7 ENTERPRISES INC, , , , , , , 
DJCO US Equity,DAILY JOURNAL CORP,280200000,11.2648,-0.3631,2.7209,-13167000,0,-253000
DAKT US Equity,DAKTRONICS INC,379196992,0,3.0785,2.0375,15936000,32907000,-11612000
DTEV US Equity,DATA EVOLUTION HOLDINGS INC, , , , , , , 
DAIO US Equity,DATA I/O CORP,28087000,0,19.0054,3.4651,4485000,6540000,-2076000
DTST US Equity,DATA STORAGE CORP,5842870,14.4533,-19.3465,0.3419,-600562, ,0
ATDS US Equity,DATA443 RISK MITIGATION INC, , , , , , , 
DLGI US Equity,DATALOGIC INTERNATIONAL INC,1616746,121.6553,-125.5494,0.5532,-2987417, ,-316779.002
DTRK US Equity,DATATRAK INTERNATIONAL INC,5697523,0,-1.8099,0.6556,60663,0, 
DWCH US Equity,DATAWATCH CORP,50405000,0,-8.0801,2.3595,-4770000,8888000,-277000
DLAD US Equity,DEALERADVANCE INC,57863,18753.3223,-4895.8491,0.0037,-2320281, ,0
DRSV US Equity,DEBT RESOLVE INC,8520651,56.1276,-17.6393,0.1727,859483,0,0
DECN US Equity,DECISION DIAGNOSTICS CORP,4790296,64.6075,-113.5557,1.1059,-4856697,0,0
DPSI US Equity,DECISIONPOINT SYSTEMS INC/CA,14104000,35.1319,-12.9774,0.425,-3053000,0,-99000
DPFD US Equity,DEEP FIELD TECHNOLOGIES-CL A,4475924,101.6011,-231.3316,0.1333,-1695713, ,0
DGMA US Equity,DEGAMA SOFTWARE SOLUTIONS IN, , , , , , , 
DVMT US Equity,DELL TECHNOLOGIES INC-CL V,9804999680, , , ,2251000000,1356000000, 
DLPX US Equity,DELPHAX TECHNOLOGIES INC,23986000,53.9189,-30.0805,2.3598,-3900000,3498000,-111999.9961
DTRM US Equity,DETERMINE INC,44160000,43.2473,-20.4721,0.7293,-7083000,3843000,-46000
DLPM US Equity,DEVELOPMENT CAPITAL GROUP IN, , , , , , , 
DGII US Equity,DIGI INTERNATIONAL INC,345188992,0,2.7492,9.6974,8807000,28566000,-1773000
DGLT US Equity,DIGILITI MONEY GROUP INC,12990000,17.3749,-166.481,2.1473,-7490239,2008466,-83076
DMRC US Equity,DIGIMARC CORP,82161000,0,-28.1846,18.5042,-23784000,14922000,-1696000
9990824D US Equity,DIGITAL ALLY INC/NV, , , , , , , 
DGLY US Equity,DIGITAL ALLY INC/NV,15056941,24.7931,-74.7926,1.529,-11425500,3328980,-372781
DLOC US Equity,DIGITAL LOCATIONS INC, , , , , , , 
APPS US Equity,DIGITAL TURBINE INC,113813000,7.6608,-17.4478,0.7833,-12038000,11678000,-1303000
DGIV US Equity,DIGITCOM INTERACTIVE VIDEO, , , , , , , 
DIGI US Equity,DIGITILITI INC, , , , , , , 
DIOD US Equity,DIODES INC,1540589056,21.1448,1.9472,3.115,62273000,75905000,-93583000
DMHI US Equity,DMH INTERNATIONAL INC, , , , , , , 
DFIN US Equity,DONNELLEY FINANCIAL SOLUTION,933699968,52.308,3.5287,1.5729,94600000,0, 
DVAR US Equity,DOVARRI INC, , , , , , , 
DROR US Equity,DROR ORTHO-DESIGN INC, , , , , , , 
DSPG US Equity,DSP GROUP INC,185583008,0,-0.8397,3.2849,-2977000,36021000,-1313000
DUOT US Equity,DUOS TECHNOLOGIES GROUP INC,1168658,352.6648,-326.9464,0.1232,-2518068,296262,-25483
